Date : 2026-01-26 02:05:31
Directory : e:\GitHub\Project-Cronus\Cronus
Total : 224 files,  51806 codes, 11059 comments, 9204 blanks, all 72069 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\GraphUtilities.cs                           | C#          |        145 |        100 |         26 |        271 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\HierarchicalGraph.cs                        | C#          |        222 |         77 |         48 |        347 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\Int3.cs                                     | C#          |        220 |         32 |         63 |        315 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\ListPool.cs                                 | C#          |        115 |         74 |         23 |        212 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\MovementUtilities.cs                        | C#          |         71 |         77 |         27 |        175 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\NodeLink.cs                                 | C#          |        116 |         16 |         26 |        158 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\NodeLink2.cs                                | C#          |        220 |         32 |         57 |        309 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\NodeLink3.cs                                | C#          |        228 |         18 |         68 |        314 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\ObjectPool.cs                               | C#          |         65 |         56 |         11 |        132 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\PathInterpolator.cs                         | C#          |        144 |         27 |         36 |        207 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\PathPool.cs                                 | C#          |         65 |         11 |         13 |         89 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\PathProcessor.cs                            | C#          |        340 |        138 |        110 |        588 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\PathReturnQueue.cs                          | C#          |         42 |         20 |         12 |         74 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\StackPool.cs                                | C#          |         46 |         40 |         13 |         99 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\ThreadControlQueue.cs                       | C#          |        181 |         66 |         45 |        292 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\WindowsStoreCompatibility.cs                | C#          |        111 |         15 |         23 |        149 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\WorkItemProcessor.cs                        | C#          |        167 |        129 |         43 |        339 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Nodes\GraphNode.cs                               | C#          |        330 |        385 |         97 |        812 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Path.cs                                          | C#          |        375 |        360 |        111 |        846 |
