"filename", "language", "XML", "JSON", "C#", "UnityShader", "Markdown", "HTML", "comment", "blank", "total"
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\PathInterpolator.cs", "C#", 0, 0, 144, 0, 0, 0, 27, 36, 207
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\PathPool.cs", "C#", 0, 0, 65, 0, 0, 0, 11, 13, 89
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\PathProcessor.cs", "C#", 0, 0, 340, 0, 0, 0, 138, 110, 588
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\PathReturnQueue.cs", "C#", 0, 0, 42, 0, 0, 0, 20, 12, 74
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\StackPool.cs", "C#", 0, 0, 46, 0, 0, 0, 40, 13, 99
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\ThreadControlQueue.cs", "C#", 0, 0, 181, 0, 0, 0, 66, 45, 292
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\WindowsStoreCompatibility.cs", "C#", 0, 0, 111, 0, 0, 0, 15, 23, 149
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Misc\WorkItemProcessor.cs", "C#", 0, 0, 167, 0, 0, 0, 129, 43, 339
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Nodes\GraphNode.cs", "C#", 0, 0, 330, 0, 0, 0, 385, 97, 812
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Path.cs", "C#", 0, 0, 375, 0, 0, 0, 360, 111, 846
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\PathHandler.cs", "C#", 0, 0, 100, 0, 0, 0, 76, 34, 210
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Serialization\JsonConverters.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Serialization\JsonSerializer.cs", "C#", 0, 0, 577, 0, 0, 0, 159, 176, 912
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Serialization\SimpleJsonReplacement.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Serialization\SimpleZipReplacement.cs", "C#", 0, 0, 62, 0, 0, 0, 0, 18, 80
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\Serialization\TinyJson.cs", "C#", 0, 0, 383, 0, 0, 0, 30, 54, 467
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Core\astarclasses.cs", "C#", 0, 0, 518, 0, 0, 0, 543, 145, 1206
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Documentation\documentation.html", "HTML", 0, 0, 0, 0, 0, 15381, 0, 1662, 17043
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Documentation\index.md", "Markdown", 0, 0, 0, 0, 6, 0, 0, 2, 8
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AIBaseEditor.cs", "C#", 0, 0, 135, 0, 0, 0, 3, 25, 163
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AILerpEditor.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 5, 32
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AnimationLinkEditor.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 4, 25
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AstarPathEditor.cs", "C#", 0, 0, 1046, 0, 0, 0, 107, 295, 1448
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AstarPathfindingProjectEditor.asmdef", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 13
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Editor\AstarUpdateChecker.cs", "C#", 0, 0, 230, 0, 0, 0, 36, 44, 310
